Timestamp,Value (kW)
09-Feb-21 6:45:00 PM CET,6494
09-Feb-21 7:00:00 PM CET,6499
09-Feb-21 7:15:00 PM CET,6501
09-Feb-21 7:30:00 PM CET,6502
09-Feb-21 7:45:00 PM CET,6499
09-Feb-21 8:00:00 PM CET,6497
09-Feb-21 8:15:00 PM CET,6508
09-Feb-21 8:30:01 PM CET,6521
09-Feb-21 8:45:00 PM CET,6519
09-Feb-21 9:00:00 PM CET,6523
09-Feb-21 9:15:00 PM CET,6514
09-Feb-21 9:30:00 PM CET,6522
09-Feb-21 9:45:00 PM CET,6522
09-Feb-21 10:00:00 PM CET,6520
09-Feb-21 10:15:00 PM CET,6522
09-Feb-21 10:30:00 PM CET,6520
09-Feb-21 10:45:00 PM CET,6516
09-Feb-21 11:00:00 PM CET,6515
09-Feb-21 11:15:01 PM CET,6521
09-Feb-21 11:30:00 PM CET,6521
09-Feb-21 11:45:01 PM CET,6524
10-Feb-21 12:00:00 AM CET,6512
10-Feb-21 12:15:00 AM CET,6520
10-Feb-21 12:30:01 AM CET,6518
10-Feb-21 12:45:00 AM CET,6518
10-Feb-21 1:00:00 AM CET,6521
10-Feb-21 1:15:01 AM CET,6518
10-Feb-21 1:30:00 AM CET,6521
10-Feb-21 1:45:00 AM CET,6515
10-Feb-21 2:00:00 AM CET,6514
10-Feb-21 2:15:01 AM CET,6523
10-Feb-21 2:30:00 AM CET,6518
10-Feb-21 2:45:00 AM CET,6519
10-Feb-21 3:00:00 AM CET,6521
10-Feb-21 3:15:00 AM CET,6519
10-Feb-21 3:30:00 AM CET,6521
10-Feb-21 3:45:00 AM CET,6516
10-Feb-21 4:00:00 AM CET,6521
10-Feb-21 4:15:00 AM CET,6524
10-Feb-21 4:30:00 AM CET,6518
10-Feb-21 4:45:00 AM CET,6519
10-Feb-21 5:00:00 AM CET,6522
10-Feb-21 5:15:00 AM CET,6521
10-Feb-21 5:30:00 AM CET,6512
10-Feb-21 5:45:00 AM CET,6507
10-Feb-21 6:00:00 AM CET,6512
10-Feb-21 6:15:01 AM CET,6514
10-Feb-21 6:30:00 AM CET,6506
10-Feb-21 6:45:00 AM CET,6484
10-Feb-21 7:00:00 AM CET,6493
10-Feb-21 7:15:00 AM CET,6491
10-Feb-21 7:30:00 AM CET,6487
10-Feb-21 7:45:00 AM CET,6479
10-Feb-21 8:00:00 AM CET,6478
10-Feb-21 8:15:00 AM CET,6482
10-Feb-21 8:30:00 AM CET,6479
10-Feb-21 8:45:00 AM CET,6488
10-Feb-21 9:00:00 AM CET,6484
10-Feb-21 9:15:00 AM CET,6484
10-Feb-21 9:30:00 AM CET,6476
10-Feb-21 9:45:00 AM CET,6478
10-Feb-21 10:00:00 AM CET,6483
10-Feb-21 10:15:00 AM CET,6474
10-Feb-21 10:30:00 AM CET,6473
10-Feb-21 10:45:00 AM CET,6480
10-Feb-21 11:00:00 AM CET,6486
10-Feb-21 11:15:00 AM CET,6482
10-Feb-21 11:30:00 AM CET,6476
10-Feb-21 11:45:00 AM CET,6476
